"Skill","Compliance","Tokens","Eval"
"accessibility","","",""
"agent-memory-systems","","",""
"animejs-animation","","",""
"api-design-principles","","",""
"architecture","","",""
"architecture-decision-records","","",""
"architecture-patterns","","",""
"backend-dev-guidelines","","",""
"bash-defensive-patterns","","",""
"code-refactoring-refactor-clean","","",""
"code-refactoring-tech-debt","","",""
"code-review","","",""
"composition-patterns","","",""
"context","","",""
"context7","","",""
"csharp-async","","",""
"csharp-docs","","",""
"csharp-mstest","","",""
"csharp-nunit","","",""
"csharp-tunit","","",""
"csharp-xunit","","",""
"design-taste-frontend","","",""
"dotnet-best-practices","","",""
"dotnet-design-pattern-review","","",""
"dotnet-upgrade","","",""
"frontend-design","","",""
"frontend-dev-guidelines","","",""
"git-advanced-workflows","","",""
"git-hooks-automation","","",""
"github","","",""
"github-actions-templates","","",""
"github-automation","","",""
"github-issue-creator","","",""
"github-workflow-automation","","",""
"git-pr-workflows-git-workflow","","",""
"git-pr-workflows-onboard","","",""
"git-pr-workflows-pr-enhance","","",""
"git-pushing","","",""
"groq-autofix","","",""
"i18n-localization","","",""
"mcp-builder","","",""
"mcp-builder-ms","","",""
"nano-banana-pro-openrouter","","",""
"nodejs-backend-patterns","","",""
"nodejs-best-practices","","",""
"opencode-skill-orchestrator","","",""
"opencode-workflow-engine","","",""
"owasp-security","","",""
"planning-with-files","","",""
"playwright","","",""
"project-skill-audit","","",""
"quality-qa","","",""
"react-best-practices","","",""
"red-team-tactics","","",""
"red-team-tools","","",""
"refactor-plan","","",""
"reference-builder","","",""
"secrets-management","","",""
"security","","",""
"security-audit","","",""
"security-guardrails","","",""
"security-requirement-extraction","","",""
"seo","","",""
"smart-router-skill","","",""
"sql-optimization-patterns","","",""
"stitch-ui-design","","",""
"tailwind-css-patterns","","",""
"task-management","","",""
"test-driven-development","","",""
"typescript-advanced-types","","",""
"typescript-expert","","",""
"typespec-api-operations","","",""
"typespec-create-agent","","",""
"typespec-create-api-plugin","","",""
"ui-visual-validator","","",""
"vite","","",""
"vitest","","",""
"wcag-audit-patterns","","",""
"web-artifacts-builder","","",""
"web-coder","","",""
"web-design-guidelines","","",""
"web-design-reviewer","","",""
"workflow-automation","","",""
"workflow-orchestration-patterns","","",""
"workflow-patterns","","",""
